Fraction,Profit,Realm,Week Num
alliance,22902224.068530943,proudmoore,21.0
alliance,22263886.195958298,proudmoore,22.0
alliance,23743037.62391206,proudmoore,23.0
alliance,23207221.006246816,proudmoore,24.0
alliance,20633912.491017837,proudmoore,25.0
alliance,25051161.638616346,proudmoore,26.0
alliance,23341367.72569545,proudmoore,27.0
alliance,23772041.232599948,proudmoore,28.0
alliance,22979197.03387448,proudmoore,29.0
alliance,26246434.35305423,proudmoore,30.0
alliance,25233704.77395111,proudmoore,31.0
alliance,25940040.900424987,proudmoore,32.0
alliance,23284472.493980244,proudmoore,33.0
alliance,24258284.594010003,proudmoore,34.0
alliance,26164182.701776948,proudmoore,35.0
alliance,22917626.72981074,proudmoore,36.0
alliance,22989787.21251213,proudmoore,37.0
alliance,22218040.964929223,proudmoore,38.0
alliance,25952610.853870604,proudmoore,39.0
alliance,22701796.9530515,proudmoore,40.0
alliance,30635063.154502586,proudmoore,41.0
alliance,25496346.784733344,kelthuzad,11.0
alliance,28577321.65929668,kelthuzad,12.0
alliance,28125968.144239616,kelthuzad,13.0
alliance,23383079.24814668,kelthuzad,14.0
alliance,23339262.550828766,kelthuzad,15.0
alliance,22977499.25000341,kelthuzad,16.0
alliance,22997678.459979482,kelthuzad,17.0
alliance,22602747.618407764,kelthuzad,18.0
alliance,22389858.521449912,kelthuzad,19.0
alliance,23216501.130913213,kelthuzad,20.0
alliance,23275863.81538112,kelthuzad,21.0
alliance,23585074.82071983,kelthuzad,22.0
alliance,23018058.32682546,kelthuzad,23.0
alliance,24865974.08431599,kelthuzad,24.0
alliance,23089665.151544593,kelthuzad,25.0
alliance,27155933.88943873,kelthuzad,26.0
alliance,28310889.767225437,kelthuzad,27.0
alliance,27808762.54078139,kelthuzad,28.0
alliance,26476333.034076292,kelthuzad,29.0
alliance,27572973.199256007,kelthuzad,30.0
alliance,26178395.912718236,kelthuzad,31.0
alliance,25618854.372797955,kelthuzad,32.0
alliance,25232850.66711307,kelthuzad,33.0
alliance,26147642.43861824,kelthuzad,34.0
alliance,25668320.21477284,kelthuzad,35.0
alliance,32400825.89713184,kelthuzad,36.0
alliance,36380871.058809,kelthuzad,37.0
alliance,25852700.610801984,kelthuzad,38.0
alliance,26260333.677780453,kelthuzad,39.0
alliance,25856912.573366385,kelthuzad,40.0
alliance,25694377.479109492,kelthuzad,41.0
alliance,17596474.269949976,moon-guard,11.0
